day,start,hight,low,end
2019/10/2,459,465,456,462
2019/10/3,454,457,450,456
2019/10/4,449,451,447,451
2019/10/7,450,451,442,445
2019/10/8,449,450,444,447
2019/10/9,440,444,439,444
2019/10/10,444,444,438,443
2019/10/11,447,451,444,449
2019/10/15,462,464,454,456
2019/10/16,464,468,458,459
2019/10/17,459,463,457,459
2019/10/18,457,458,451,456
2019/10/21,460,464,458,459
2019/10/23,464,467,461,466
2019/10/24,470,474,468,473
2019/10/25,472,477,471,476
2019/10/28,476,479,475,477
2019/10/29,483,487,482,483
2019/10/30,480,481,477,480
2019/10/31,474,477,467,475
2019/11/1,468,474,467,472
2019/11/5,481,483,476,480
2019/11/6,488,488,482,484
2019/11/7,481,482,479,481
2019/11/8,488,488,481,484
2019/11/11,480,483,472,478
2019/11/12,480,482,477,481
2019/11/13,485,485,479,480
2019/11/14,478,481,474,475
2019/11/15,474,479,472,477
2019/11/18,476,477,472,475
2019/11/19,476,481,475,478
2019/11/20,475,476,468,469
2019/11/21,469,470,462,467
2019/11/22,468,468,463,463
2019/11/25,467,467,464,465
2019/11/26,465,468,461,463
2019/11/27,462,465,462,464
2019/11/28,465,466,461,463
2019/11/29,465,465,462,464
2019/12/2,463,469,463,467
2019/12/3,463,469,461,468
2019/12/4,463,466,462,466
2019/12/5,469,471,467,470
2019/12/6,472,476,472,476
2019/12/9,485,494,483,486
2019/12/10,484,486,480,483
2019/12/11,486,490,482,485
2019/12/12,485,485,479,482
2019/12/13,491,497,489,494
2019/12/16,491,493,487,487
2019/12/17,490,493,488,493
2019/12/18,495,498,491,491
2019/12/19,491,492,483,485
2019/12/20,484,487,483,485
2019/12/23,485,485,482,483
2019/12/24,484,485,480,481
2019/12/25,480,481,476,477
2019/12/26,475,479,474,478
2019/12/27,481,486,481,483
2019/12/30,480,482,477,479
2020/1/6,471,473,467,471
2020/1/7,471,475,471,473
2020/1/8,465,469,463,467
2020/1/9,475,476,471,472
2020/1/10,476,477,472,472
2020/1/14,470,470,465,468
2020/1/15,463,467,461,465
2020/1/16,462,464,457,457
2020/1/17,461,464,459,463
2020/1/20,465,468,464,465
2020/1/21,467,469,465,468
2020/1/22,465,468,463,467
2020/1/23,466,466,462,463
2020/1/24,464,465,462,463
2020/1/27,456,461,453,460
2020/1/28,458,459,455,458
2020/1/29,458,462,458,459
2020/1/30,457,459,453,455
2020/1/31,460,463,455,456
2020/2/3,450,456,450,453
2020/2/4,452,457,449,457
2020/2/5,459,463,459,461
2020/2/6,474,478,468,468
2020/2/7,468,470,464,466
2020/2/10,463,470,462,469
2020/2/12,471,472,463,468
2020/2/13,465,466,460,462
2020/2/14,462,462,455,457
2020/2/17,451,454,450,453
2020/2/18,452,453,445,446
2020/2/19,443,444,440,440
2020/2/20,445,445,438,439
2020/2/21,440,446,440,441
2020/2/25,425,433,424,430
2020/2/26,424,428,423,427
2020/2/27,423,424,419,420
2020/2/28,410,412,403,409
2020/3/2,402,408,401,405
2020/3/3,409,410,397,398
2020/3/4,390,394,387,387
2020/3/5,391,393,386,388
2020/3/6,380,381,369,371
2020/3/9,355,359,331,333
2020/3/10,325,346,316,341
2020/3/11,341,354,340,345
2020/3/12,333,335,322,324
2020/3/13,304,324,299,308
2020/3/16,311,323,305,310
2020/3/17,304,309,296,304
2020/3/18,312,327,307,316
2020/3/19,324,325,307,312
2020/3/23,312,317,302,313
2020/3/24,326,339,321,338
2020/3/25,360,361,350,357
2020/3/26,352,358,345,347
2020/3/27,360,362,348,359
2020/3/30,333,345,327,344
2020/3/31,333,338,323,325
2020/4/1,321,332,315,319
2020/4/2,314,319,308,309
2020/4/3,310,316,306,309
2020/4/6,315,329,310,327
2020/4/7,332,340,326,334
2020/4/8,335,339,329,337
2020/4/9,342,343,333,339
2020/4/10,331,343,331,340
2020/4/13,334,339,332,333
2020/4/14,334,340,329,337
2020/4/15,330,334,327,330
2020/4/16,323,325,319,321
2020/4/17,325,329,318,322
2020/4/20,319,323,319,319
2020/4/21,319,321,316,319
2020/4/22,314,316,312,313
2020/4/23,314,326,314,326
2020/4/24,326,326,317,324
2020/4/27,321,331,318,331
2020/4/28,331,333,328,332
2020/4/30,340,342,336,337
2020/5/1,333,333,322,325
2020/5/7,316,320,312,317
2020/5/8,320,327,317,325
2020/5/11,324,330,323,328
2020/5/12,327,328,318,319
2020/5/13,323,339,322,335
2020/5/14,328,335,322,330
2020/5/15,335,338,331,334
2020/5/18,331,338,331,336
2020/5/19,348,353,347,351
2020/5/20,350,358,349,351
2020/5/21,355,356,349,351
2020/5/22,348,349,338,339
2020/5/25,347,349,343,345
2020/5/26,349,355,347,353
2020/5/27,357,378,356,374
2020/5/28,388,400,386,393
2020/5/29,381,390,380,388
2020/6/1,379,382,376,380
2020/6/2,380,383,379,380
2020/6/3,390,393,381,384
2020/6/4,394,395,380,381
2020/6/5,384,390,381,389
2020/6/8,399,409,397,407
2020/6/9,406,411,400,403
2020/6/10,405,405,399,400
2020/6/11,390,392,380,384
2020/6/12,368,380,367,378
2020/6/15,382,387,374,374
2020/6/16,391,395,385,391
2020/6/17,391,394,387,392
2020/6/18,385,385,377,383
2020/6/19,384,385,377,378
2020/6/22,379,382,377,378
2020/6/23,378,382,374,378
2020/6/24,379,379,375,376
2020/6/25,371,371,363,368
2020/6/26,371,377,371,373
2020/6/29,366,369,364,368
2020/6/30,375,377,368,368
2020/7/1,369,370,363,365
2020/7/3,370,373,365,370
2020/7/6,372,377,370,376
2020/7/7,384,384,371,373
2020/7/8,370,376,367,369
2020/7/9,370,372,366,368
2020/7/10,363,365,359,360
2020/7/13,367,373,366,371
2020/7/14,370,378,369,376
2020/7/15,379,381,376,380
2020/7/16,385,390,381,384
2020/7/17,387,387,378,381
2020/7/20,381,381,375,380
2020/7/21,377,378,372,377
2020/7/22,377,382,372,373
2020/7/27,367,377,364,376
2020/7/28,376,378,372,373
2020/7/29,370,373,369,370
2020/7/30,369,370,360,362
2020/7/31,360,360,342,344
2020/8/3,347,349,341,344
2020/8/4,347,355,347,354
2020/8/5,350,356,350,355
2020/8/6,355,357,352,354
2020/8/7,353,358,353,356
2020/8/11,362,376,362,375
2020/8/12,379,393,379,387
2020/8/13,388,391,381,385
2020/8/14,383,383,380,382
2020/8/17,384,389,383,383
2020/8/18,380,382,374,379
2020/8/19,376,381,374,381
2020/8/20,380,382,378,379
2020/8/21,381,384,375,376
2020/8/24,379,380,375,376
2020/8/25,389,390,386,387
2020/8/26,383,387,380,387
2020/8/27,384,385,379,380
2020/8/28,388,396,383,387
2020/8/31,395,395,389,390
2020/9/1,386,387,382,386
2020/9/2,380,381,377,381
2020/9/3,386,389,383,386
2020/9/4,385,389,383,388
2020/9/7,392,396,392,395
2020/9/8,390,390,384,390
2020/9/9,384,385,379,384
2020/9/10,384,390,380,390
2020/9/11,384,390,383,389
2020/9/14,390,394,386,394
2020/9/15,393,399,391,398
2020/9/16,395,396,389,391
2020/9/17,394,394,390,392
2020/9/18,392,396,390,394
2020/9/23,388,390,384,388
2020/9/24,387,387,383,385
2020/9/25,387,387,384,386
2020/9/28,387,388,383,387
2020/9/29,381,382,374,375
2020/9/30,372,372,358,358
2020/10/2,362,363,352,353
